City,Cloudliness,Humidity,Lat,Lng,Temp,Wind Speed
wageningen,0,22,51.98,5.66,91.4,4.7
lima,12,78,-12.06,-77.04,53.19,2.51
tanout,36,62,14.97,8.88,85.86,9.66
sorland,75,62,67.67,12.69,57.2,6.93
baijiantan,56,23,45.63,85.18,96.31,9.66
yichun,8,88,27.8,114.38,82.71,2.51
ulladulla,20,100,-35.36,150.48,51.8,21.92
kharp,92,100,66.82,65.8,58.41,3.96
narasaraopet,92,87,16.24,80.05,80.82,7.99
le vauclin,40,83,14.55,-60.84,79.81,9.17
alyangula,0,96,-13.85,136.42,75.69,17.27
banon,0,41,44.04,5.63,89.6,9.17
aksu,90,88,52.04,76.93,62.6,11.18
coruripe,68,90,-10.12,-36.18,78.66,14.47
weligama,80,81,5.97,80.42,82.26,17.38
new ulm,90,93,44.31,-94.46,63.72,4.7
hailey,1,50,43.52,-114.32,55.4,9.17
chern,76,44,53.45,36.91,77.58,13.69
kandrian,0,98,-6.21,149.55,71.82,3.62
mackenzie,90,66,55.34,-123.09,55.4,2.24
russell,0,54,-33.01,-68.8,53.6,5.82
pacific grove,90,100,36.62,-121.92,52.7,5.82
richards bay,0,57,-28.77,32.06,74.61,8.21
beinamar,76,84,8.67,15.38,83.07,10.0
sola,40,73,58.89,5.65,69.8,16.11
homer,75,82,59.64,-151.54,60.89,6.93
caranavi,0,79,-15.83,-67.57,58.23,1.28
akdepe,0,32,42.05,59.39,92.28,16.11
karaidel,64,63,55.83,56.91,73.54,6.31
blagoyevo,92,100,63.37,47.92,54.0,4.74
harper,1,78,30.3,-99.24,72.93,7.65
haines junction,56,83,60.75,-137.51,44.91,3.85
abilene,1,65,32.45,-99.73,76.37,9.17
